"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)"
"189","2007","12","Uttar Pradesh","Saharanpur","57.18","129.64","2267.23","152.1","426.7","2805.39","0.0","0.0","0.0","9.07","11.46","1263.51","0.02","0.02","1000.0","0.0","0.0","0.0","6.23","3.16","507.22","4.94","3.32","672.06","0.0","0.0","0.0","219.22","1376.7","6279.99"
"189","2008","12","Uttar Pradesh","Saharanpur","66.74","148.24","2221.16","159.58","464.48","2910.64","0.0","0.0","0.0","9.62","13.87","1441.79","0.03","0.02","666.67","0.0","0.0","0.0","6.87","3.61","525.47","4.99","5.23","1048.1","0.0","0.0","0.0","203.28","1091.87","5371.26"
"189","2009","12","Uttar Pradesh","Saharanpur","77.86","175.38","2252.5","161.46","474.8","2940.67","0.0","0.0","0.0","8.76","9.54","1089.04","0.04","0.02","500.0","0.0","0.0","0.0","6.25","4.11","657.6","4.64","5.37","1157.33","0.0","0.0","0.0","202.87","1199.12","5910.78"
"189","2010","12","Uttar Pradesh","Saharanpur","73.61","150.25","2041.16","157.99","454.26","2875.25","0.0","0.01","0.0","8.72","11.99","1375.0","0.01","0.01","1000.0","0.0","0.0","0.0","5.26","2.68","509.51","4.82","5.67","1176.35","0.0","0.0","0.0","206.31","1251.92","6068.15"
"189","2011","12","Uttar Pradesh","Saharanpur","73.32","162.98","2222.86","156.17","514.9","3297.05","0.0","0.01","0.0","8.57","12.17","1420.07","0.01","0.01","1000.0","0.0","0.0","0.0","5.16","2.99","579.46","4.7","5.86","1246.81","0.0","0.0","0.0","205.04","1193.2","5819.35"
"189","2012","12","Uttar Pradesh","Saharanpur","67.62","172.1","2545.1","153.33","498.57","3251.61","0.0","0.01","0.0","8.56","11.61","1356.31","0.03","0.02","666.67","0.0","0.0","0.0","4.55","3.19","701.1","4.11","4.48","1090.02","0.0","0.0","0.0","209.5","1292.07","6167.4"
"189","2013","12","Uttar Pradesh","Saharanpur","69.58","164.6","2365.62","153.12","497.07","3246.28","0.0","0.0","0.0","7.78","9.64","1239.07","0.01","0.0","0.0","0.0","0.0","0.0","3.04","2.13","700.66","4.81","5.09","1058.21","0.0","0.0","0.0","212.18","1271.89","5994.39"
"189","2014","12","Uttar Pradesh","Saharanpur","75.58","184.64","2442.97","163.14","335.75","2058.05","0.0","0.01","0.0","7.99","11.3","1414.27","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.86","5.02","1032.92","0.0","0.0","0.0","196.76","1247.4","6339.7"
"189","2015","12","Uttar Pradesh","Saharanpur","86.82","196.19","2259.73","158.87","513.21","3230.38","0.0","0.0","0.0","7.78","12.68","1629.82","0.01","0.0","0.0","0.0","0.0","0.0","5.31","4.0","753.63","4.46","5.34","1197.31","0.0","0.0","1000.0","181.12","1140.87","6298.97"
"189","2016","12","Uttar Pradesh","Saharanpur","72.43","172.65","2383.63","158.99","572.66","3601.9","0.0","0.0","2000.0","8.12","13.23","1628.99","0.03","0.03","1033.33","0.0","0.0","0.0","6.1","4.34","711.8","4.5","4.62","1027.32","0.0","0.0","0.0","205.29","1351.93","6585.32"
